date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2020-11-28,59,24,,0.24,14.16
2020-11-29,56,24,,0.24,13.44
2020-11-30,82,24,,0.24,19.68
2020-12-01,51,32,FALSE,0.32,16.32
2020-12-02,42,32,,0.32,13.44
2020-12-03,39,32,,0.32,12.48
2020-12-04,37,32,,0.32,11.84
2020-12-05,34,32,,0.32,10.88
2020-12-06,31,32,,0.32,9.92
2020-12-07,33,32,,0.32,10.56
2020-12-08,33,32,,0.32,10.56
2020-12-09,34,32,,0.32,10.88
2020-12-10,33,32,,0.32,10.56
2020-12-11,32,32,,0.32,10.24
2020-12-12,29,32,,0.32,9.28
2020-12-13,31,32,,0.32,9.92
2020-12-14,31,32,,0.32,9.92
2020-12-15,32,32,,0.32,10.24
2020-12-16,62,32,,0.32,19.84
2020-12-17,100,32,,0.32,32
2020-12-18,65,32,,0.32,20.8
2020-12-19,56,32,,0.32,17.92
2020-12-20,56,32,,0.32,17.92
2020-12-21,61,32,,0.32,19.52
2020-12-22,51,32,,0.32,16.32
2020-12-23,48,32,,0.32,15.36
2020-12-24,44,32,,0.32,14.08
2020-12-25,49,32,,0.32,15.68
2020-12-26,71,32,,0.32,22.72
2020-12-27,96,32,,0.32,30.72
2020-12-28,74,32,,0.32,23.68
2020-12-29,65,32,,0.32,20.8
2020-12-30,75,32,,0.32,24
2020-12-31,80,32,,0.32,25.6
2021-01-01,38,68,FALSE,0.68,25.84
2021-01-02,66,68,,0.68,44.88
2021-01-03,80,68,,0.68,54.4
2021-01-04,67,68,,0.68,45.56
2021-01-05,53,68,,0.68,36.04
2021-01-06,59,68,,0.68,40.12
2021-01-07,85,68,,0.68,57.8
2021-01-08,91,68,,0.68,61.88
2021-01-09,68,68,,0.68,46.24
2021-01-10,66,68,,0.68,44.88
2021-01-11,100,68,,0.68,68
2021-01-12,74,68,,0.68,50.32
2021-01-13,66,68,,0.68,44.88
2021-01-14,66,68,,0.68,44.88
2021-01-15,56,68,,0.68,38.08
2021-01-16,49,68,,0.68,33.32
2021-01-17,45,68,,0.68,30.6
